Номер сертификата о происхождении серийной продукции и дата его выдачи,"Производитель товара
(адрес производителя товара)","Наименование товара
(код ТН ВЭД ЕАЭС)","Статус сертификата о происхождении серийной продукции
(срок действия)"
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 2 сорт, 1,3 - 1,4 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 2 сорт, 1,4 - 1,5 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 2 сорт, 0,5 - 1,3 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Шея ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,5 - 2,5 кг., вес., охл., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, вес., зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, вес., охл., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Жир-сырец ЦБ, вес., зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, вес., охл., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Шея ЦБ, монолит, зам., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, монолит, зам., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, монолит, зам., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, монолит, зам., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, монолит, зам., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе кусковое ЦБ, групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе кусковое ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро с частью спинки ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро с частью спинки ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кисть крыла ЦБ, монолит, зам., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Плечевая и локтевая части крыла ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт 1,0 - 1,3 кг., вес., охл., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Ноги ЦБ, вес., зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Ноги ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,0 - 1,3 кг., групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, 1,5 кг и выше, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Локтевая часть крыла ЦБ,на подложке, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Плечевая часть крыла ЦБ, на подложке, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Головы ЦБ, вес., зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Шея ЦБ, групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, 1,5 кг и выше, групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Окорочок ЦБ, групп., охл., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Окорочок ЦБ, монолит, зам., Э",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,1 - 1,2 кг., групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,0 - 1,1 кг., групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,2 - 1,3 кг., групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе бедра ЦБ, групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе бедра ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе бедра ЦБ, на подложке, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе бедра с кожей ЦБ, групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе бедра с кожей ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Костный остаток ЦБ, блок, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Шея ЦБ, блок, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кисть крыла ЦБ, блок, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мясо ЦБ, блок, зам., мех.обвалки",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, блок, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа ЦБ, блок, зам.",Действителен до
