Номер сертификата о происхождении серийной продукции и дата его выдачи,"Производитель товара
(адрес производителя товара)","Наименование товара
(код ТН ВЭД ЕАЭС)","Статус сертификата о происхождении серийной продукции
(срок действия)"
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Окорочок ЦБ вес. (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Окорочок ЦБ групп (охл. Э),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Окорочок ЦБ монолит (Э),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Печень ЦБ (монолит),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Печень ЦБ (фас. зам),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Печень ЦБ в пакете (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Печень ЦБ вес. (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Печень ЦБ на подложке,Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Печень ЦБ на подложке (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Печень ЦБ на подложке зам (Э),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Печень ЦБ фас. зам (Э),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Печень цыпленка-бройлер (охл.Э),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Печень цыпленка-бройлера (зам.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Плечевая часть крыла ЦБ вес (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Плечевая и локтевая части крыла ЦБ в групповой упаковке (замор.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Плечевая часть ЦБ на подложке,Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Половинка ЦБ вес. (охл.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Половинка ЦБ на подложке
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Половинка ЦБ на подложке (охл.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Сердца ЦБ (монолит)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Сердце ЦБ (фас. зам)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Сердце ЦБ вес. (охл.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Сердце ЦБ на подложке
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Сердце ЦБ на подложке (охл.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Сердце ЦБ на подложке зам (Э)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Сердце ЦБ фас. зам (Э)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Сердце цыпленка-бройлера (охл.Э)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Спинка ЦБ вес. (охл.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Спинка ЦБ на подложке (охл.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Тушка ЦБ (1,7-1,8)  фасованная зам (Э)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Тушка ЦБ (1,7-2,5) монолит зам (Э)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Филе бедра ЦБ (монолит)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Филе бедра ЦБ без кожи монолит зам (Э)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Филе бедра ЦБ групп. (охл.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Филе бедра ЦБ на подложке (охл.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Филе бедра ЦБ с кожей (монолит)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Филе бедра ЦБ с кожей групп. (охл.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Филе бедра ЦБ с кожей монолит зам (Э)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Филе голени ЦБ (монолит) (зам.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Филе голени ЦБ групп. (охл.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Филе голени ЦБ на подложке (охл.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Филе голени ЦБ с кожей (монолит) (зам.
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Филе голени ЦБ с кожей групп. (охл.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Филе задней четвертины ЦБ (зам.)
",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Филе задней четвертины ЦБ (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Филе ЦБ (монолит),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Филе ЦБ 2 кат. групп. (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Филе ЦБ вес (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Филе ЦБ групп. (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Филе ЦБ групп. (охл.Э),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Филе ЦБ кусковое (монолит),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Филе ЦБ кусковое групп. (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Филе ЦБ монолит зам (Э),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Филе ЦБ на подложке,Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Филе ЦБ на подложке (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Филе ЦБ подложка зам (Э),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ (монолит Э) градации 1,2-1,3 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат групп (охл) градации 1,0-1,1 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат групп (охл) градации 1,1-1,2 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат групп (охл) градации 1,2-1,3 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат. (фас) (1,1 - 1,2 кг)",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат. (фас) (1,1-1,4 кг)",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат. (фас) (1,2 - 1,3 кг)",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат. (фас) (1,3 - 1,4 кг)",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат. (фас) (1,4 - 1,5 кг)",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат. (фас) (1,4-1,8 кг)",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат. (фас) (1,5 - 1,6 кг)",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат. (фас) (1,6 - 1,7 кг)",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат. (фас) (1,7 - 1,8 кг)",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,ЦБ 1 кат. вес (зам.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,ЦБ 1 кат. вес. (охл. Э),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат. вес. (охл. Э) градации 1,0-1,3 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,ЦБ 1 кат. вес. (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,ЦБ 1 кат. вес. (пром.охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,ЦБ 1 кат. групп. (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,ЦБ 1 кат. монолит,Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,ЦБ 1 кат. на подложке (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,ЦБ 1 кат. фас. в пакете (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ 1 кат.групп. (охл.) градации 1,0-1,3",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,ЦБ 2 кат. вес. (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,ЦБ монолит 2 кат.,Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит 2 кат. градации 1,0-1,3 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит 2 кат. градации 1,3 -1,4 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит 2 кат. градации 1,3-2,5 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит 2 кат. градации 1,4 -1,5 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит градации 0,9 – 1,1 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит градации 1,0 – 1,1 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит градации 1,0 – 1,3 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит градации 1,0–1,5 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит градации 1,1 – 1,2 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит градации 1,2 – 1,3 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит градации 1,3 – 1,4 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит градации 1,3 -1,7 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит градации 1,4 – 1,5 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит градации 1,5 – 1,6 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит градации 1,5–2,5 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит градации 1,6 – 1,7 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"ЦБ монолит градации 1,7 – 2,5 кг",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Четвертина ЦБ,Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Четвертина ЦБ (монолит),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Четвертина ЦБ 2 кат. групп (охл),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Четвертина ЦБ 2 кат. монолит,Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Четвертина ЦБ вес (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Четвертина ЦБ групп (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Четвертина ЦБ групп. (охл.Э),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Четвертина ЦБ монолит градации 1,5 и выше",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Четвертина ЦБ монолит зам (Э),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Четвертина ЦБ на подложке,Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Четвертина ЦБ на подложке (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Четвертина ЦБ подложка зам (Э),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,"Четверть ЦБ (групп. охл.) градации 1,5 и выше",Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Шея ЦБ,Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Шея ЦБ (групп.) охл.,Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Шея ЦБ (монолит),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Шея ЦБ (фас.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Шея ЦБ вес. (охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Шея ЦБ вес. (пром.охл.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Шея цыпленка-бройлера (зам.),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Шкура ЦБ (монолит),Срок действия истек
KZ EA 2 101 00003,ТОО «Макинская Птицефабрика»,Шкура ЦБ вес (охл),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Крыло ЦБ промпереработка (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Голень ЦБ промпереработка (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе ЦБ промпереработка (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Бедро ЦБ промпереработка (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Шея ЦБ промпереработка (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит 1,7-2,5 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе ЦБ кусковое групп. (охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Кисть крыла ЦБ промпереработка (охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе ЦБ кусковое (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",ЦБ 1 кат. вес. (пром.охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",ЦБ промпереработка (охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Мясо кур (охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Шкура ЦБ (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Шея ЦБ вес. (пром.охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Печень ЦБ (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Сердца ЦБ (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Желудок ЦБ (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Печень ЦБ охл. промпереработка,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Сердце ЦБ охл. промпереработка,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Желудок ЦБ охл. промпереработка,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит 2 кат. градации 1,0-1,3 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит 2 кат. градации 1,3-2,5 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. групп. (охл.) градации 1,1-1,2",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. групп. (охл.) градации 1,0-1,1",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. групп. (охл.) градации 1,2-1,3",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе бедра ЦБ групп. (охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе бедра ЦБ (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе бедра ЦБ на подложке (охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",ЦБ 1 кат. вес. (охл. Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Четвертина ЦБ (монолит Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Бедро ЦБ (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Бедро ЦБ с частью спинки (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Шея ЦБ групп. (охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. вес. 1,0 - 1,4 ( пром.охл.)",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит 2 кат. градации 1,3 -1,4 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит 2 кат. градации 1,4 -1,5 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Бедро ЦБ вес. (пром.охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Голень ЦБ пром,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Желудок ЦБ,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Крыло ЦБ пром,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. (фас) (1,1-1,4 кг)",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. (фас) (1,4-1,8 кг)",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит градации 1,0–1,5 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит градации 1,5–2,5 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Желудок ЦБ на подложке (охл. Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Четвертина ЦБ групп (охл. Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе ЦБ групп. (охл. Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Грудка ЦБ групп (охл. Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Голень ЦБ групп (охл. Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Печень ЦБ на подложке (охл. Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Сердце ЦБ на подложке (охл. Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Бедро ЦБ групп (охл. Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит градации 1,7 – 2,5 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Голень ЦБ (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Бедро ЦБ монолит зам (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Грудка ЦБ монолит зам (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Желудок ЦБ на подложке зам (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит градации 1,7 – 2,5 кг зам (Э)",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. (фас) (1,7 - 1,8 кг) зам (Э)",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Бедро ЦБ на подложке зам (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Голень ЦБ на подложке зам (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Грудка ЦБ на подложке зам (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе ЦБ монолит зам (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе ЦБ на подложке зам (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Четвертина ЦБ монолит зам (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Четвертина ЦБ на подложке зам (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Сердце ЦБ фас. зам. (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Печень ЦБ фас. зам. (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Желудок ЦБ фас. зам. (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Печень ЦБ на подложке зам (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Сердце ЦБ на подложке зам (Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Четвертина ЦБ на подложке,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Шея ЦБ вес. (охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Желудок ЦБ (фас. зам.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Печень ЦБ (фас. зам.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Окорочок ЦБ групп. (охл. Э),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина ЦБ групп (охл.) градации 1,5 и выше",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит градации 1,0 – 1,3 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит градации 1,3 -1,7 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. групп. (охл.)0207119009
",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Крыло ЦБ групп. (охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе ЦБ групп. (охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Грудка ЦБ групп (охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Четвертина ЦБ групп (охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Мясо кур (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Грудка ЦБ на подложке (охл),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Бедро ЦБ на подложке,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Голень ЦБ на подложке,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе ЦБ на подложке,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Крыло ЦБ на подложке,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Желудок ЦБ на подложке,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Печень ЦБ на подложке,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Сердце ЦБ на подложке,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Половинка ЦБ на подложке,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Лапки ЦБ (меш.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Головы ЦБ (меш.),Срок действия истек
