id,industrial_certificate_number
2334,ЕАЭС № KZ.5910317.24.01.01512
2336,ЕАЭС № KZ.3910317.01.01.00015
2348,№ 009-2021/ОП
2351,KZ.7700.02.01.00812607/
2352,KZ.7700.02.01.00812610/
2353,KZ.7700.02.01.00812613/
2354,KZ.7700.02.01.00812606/
2356,№KZ.7500551.01.01.00483 от 15.02.2022г. до 15.02.2023
2357,9 от 06.04.2022
2389,KZ 7500802.13.12.00590
2440,KZ.7500551.01.01.00591
2443,EAЭС KZ.7500986.01.01.00236
2446,KZ.3510103.24.01.00003
2447,KZ.3510103.22.01.00013
2448,KZ.3510103.22.01.00119
2451,KZ.3510103.22.01.00125
2456,KZ.3510103.22.01.00012
2473,KZ.3510103.24.01.00068
2474,KZ.7500651.22.01.00855
2475,KZ.3510103.24.01.00063
2479,KZ.3510103.22.01.00091
2490,KZ.3510396.13.12.00081
2493,KZ.3510396.01.01.00074
2496,KZ.3510396.13.12.00112
2497,KZ.3510103.24.01.00001
2500,KZ.3510396.13.12.00070
2501,KZ.3510103.24.01.00067
2503,KZ.3510103.22.01.00001
2505,KZ.3510103.24.01.00004
2515,KZ.3510103.22.01.00060
2516,KZ.3510103.22.01.00062
2517,KZ.3510103.22.01.00059
2519,KZ.3510103.22.01.00061
2521,KZ.3510103.22.01.00092
2525,KZ.3510103.24.01.00128
2530,KZ.3510103.24.01.00102
2545,KZ.3510103.22.01.00014
2599,KZ.3510103.24.01.00091
