document_id,issue_date,end_date,authorisation_licence,manufacturer_name,bin_iin
№ KZ.7100749.01.01.00782,2020-12-23,2021-12-23,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10374,2020-11-26,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10051,2018-09-24,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100841.01.01.05417,2020-05-27,2021-05-27,-,"АО ""Стройконструкция""",921140000156
№ KZ.1110317.01.01.15164,2020-08-12,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100841.01.01.05416,2020-05-27,2021-05-27,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10363,2020-10-26,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10356,2020-09-28,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10359,2020-09-30,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100841.01.01.05177,2018-08-23,2021-08-23,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100841.01.01.05424,2020-06-11,2021-06-11,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100749.01.01.00795,2021-01-18,2022-01-18,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10392,2021-04-26,2022-04-26,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.05.01.36434,2021-04-26,2021-10-26,-,"АО ""Стройконструкция""",921140000156
ЕАЭС № KZ.7100317.24.01.01368,2020-11-11,2023-11-11,-,"Товарищество с ограниченной ответственностью ""Джамиля""",980640014717
ЕАЭС № KZ.7100317.22.01.00100,2020-11-11,2023-11-11,-,"Товарищество с ограниченной ответственностью ""Джамиля""",980640014717
ЕАЭС № KZ.7100317.24.01.01367,2020-11-11,2023-11-11,-,"Товарищество с ограниченной ответственностью ""Джамиля""",980640014717
ЕАЭС № KZ.7100317.22.01.00101,2020-11-11,2023-11-11,-,"Товарищество с ограниченной ответственностью ""Джамиля""",980640014717
ЕАЭС № KZ.7100317.22.01.00102,2020-11-11,2023-11-11,-,"Товарищество с ограниченной ответственностью ""Джамиля""",980640014717
ЕАЭС № KZ.7100317.22.01.00103,2021-04-21,2024-04-21,-,"Товарищество с ограниченной ответственностью ""Джамиля""",980640014717
ЕАЭС № KZ.7100317.22.01.00104,2021-04-21,2024-04-21,-,"Товарищество с ограниченной ответственностью ""Джамиля""",980640014717
Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00815,2026-04-06,2026-04-06,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00816,2026-04-06,2026-04-06,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
KZ.3110317.22.01.00639 Серия KZ №0130994,2020-03-13,2022-06-21,-,ИП Имажанов,840301300754
Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00856,2021-05-24,2026-04-06,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01282,2021-04-06,2026-04-06,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01283,2021-04-06,2026-04-06,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00858,2021-05-24,2026-04-06,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01368,2021-05-24,2026-04-06,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00857,2021-05-24,2026-04-06,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01366,2021-05-24,2026-04-06,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01367,2021-05-24,2026-04-06,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00819,2026-04-06,2026-04-06,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01286,2021-04-06,2026-04-06,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Сертификат соответствия № ЕАЭС KZ.7500651.22.01.01451,2021-01-18,2024-01-18,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01860,2021-01-18,2024-01-18,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01861,2021-01-18,2024-01-18,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
