Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/экспортера,Наименование отправителя/экспортера,Адрес отправителя/экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/импортера,Статус сертификата,Дата выдачи,12.03.2025
KZ IR 4 108 03517,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802165,61240007770,«Kaz-Ir Agro» LLP,"Kazakhstan, Zhambyl area, Shu region,  Berlik village, 1 Auliye ata .  Zip code: 081123",Safflower cake,2306909000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,27.06.2024,27.06.2025
KZ IR 4 108 03259,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802164,61240007770,«Kaz-Ir Agro» LLP,"Kazakhstan, Zhambyl area, Shu region,  Berlik village, 1 Auliye ata .  Zip code: 081123",Safflower cake,2306909000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,18.06.2024,18.06.2025
KZ IR 4 108 03247,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802163,61240007770,«Kaz-Ir Agro» LLP,"Kazakhstan, Zhambyl area, Shu region,  Berlik village, 1 Auliye ata .  Zip code: 081123",Safflower cake,2306909000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,18.06.2024,18.06.2025
KZ IR 4 108 03246,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802162,61240007770,«Kaz-Ir Agro» LLP,"Kazakhstan, Zhambyl area, Shu region,  Berlik village, 1 Auliye ata .  Zip code: 081123",Safflower cake,2306909000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,17.06.2024,17.06.2025
KZ IR 4 108 03200,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802161,61240007770,«Kaz-Ir Agro» LLP,"Kazakhstan, Zhambyl area, Shu region,  Berlik village, 1 Auliye ata .  Zip code: 081123",Safflower cake,2306909000,P,Республика Казахстан,Iran (Islamic Republic),Действующий,14.06.2024,14.06.2025
KZ IR 4 108 03172,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802160,61240007770,«Kaz-Ir Agro» LLP,"Kazakhstan, Zhambyl area, Shu region,  Berlik village, 1 Auliye ata .  Zip code: 081123",Жмых сафлоровый,2306909000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,12.06.2024,12.06.2025
KZ IR 3 108 03279,Региональная палата предпринимателей Жамбылской области,СТ-3,1802155,90940018992,"LLP ""Apriori-Taraz""","080209, Republic of Kazakhstan, Zhambyl region, Zhambyl district, p. Zhalpak Tobe, Junchi, 7",Dry Wheat Refyse,2302400800,VAC 67%,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,19.07.2023,19.07.2024
KZ IR 3 108 02526,Региональная палата предпринимателей Жамбылской области,СТ-3,1802154,90940018992,"LLP ""Apriori-Taraz""","080209, Republic of Kazakhstan, Zhambyl region, Zhambyl district, p. Zhalpak Tobe, Junchi, 7",Dry Wheat Refyse,2302400800,VAC 67%,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,23.06.2023,23.06.2024
KZ IR 3 108 02516,Региональная палата предпринимателей Жамбылской области,СТ-3,1802153,90940018992,"LLP ""Apriori-Taraz""","080209, Republic of Kazakhstan, Zhambyl region, Zhambyl district, p. Zhalpak Tobe, Junchi, 7",Dry Wheat Refyse,2302400800,VAC 67%,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,22.06.2023,22.06.2024
KZ IR 2 113 00437,Региональная палата предпринимателей Мангистауской области,СТ-3,1804402,51140001409,KazAzot JSC,"Republic of Kazakhstan, Mangystau region, Aktau,index 130000, industrial zone 6, building No. 150.","Ammonium nitrate 
GOST 2-2013",3102309000,P,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,08.06.2022,08.06.2023
KZ IR 2 102 04515,Региональная палата предпринимателей г.Алматы,СТ-3,1800107,190540005431,Limited Liability Partnership «Aryan.Co»,"Republic of Kazakhstan, Almaty, 050036, Auezov district, microdistrict Mamyr-4, building 197a",Coke,2704001900,WO,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,01.06.2022,01.06.2023
KZ IR 1 108 03852,Региональная палата предпринимателей Жамбылской области,СТ-3,1802152,810407300110,"IP ""ERZHAN""","Turkestan region, Zhetisay district, Zhetysay city, Makhambet street, building, 7 a, Republic of Kazakhstan","Unshelled raw rice, medium grain",1006109400,WO,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,14.10.2021,14.10.2022
KZ IR 1 107 02762,Региональная палата предпринимателей Восточно-Казахстанской области,СТ-3,1801859,131240025177,ТОО « ImExKz»,"Republic of Kazakhstan, Ust-Kamenogorsk city,Primykanie street,26",peas,713109000,WO,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,24.09.2021,24.09.2022
KZ IR 1 101 01420,Палата предпринимателей города Нур-Султан,СТ-3,1800002,180240020244,«HAIKAN MINERALS» LLP,"Republic of Kazakhstan, Nur-Sultan c., Sary arka dis., 31/2, off. 1"," Coal grade K, CO fraction 0+20 mm: - ash content of 23% - humidity not more than 9%+ 2% - the lowest heat of combustion is not lower than 5,400 Kcal/kg-the yield of volatile compounds is not higher than 29% - sulfur content is not higher than 1%
",2701129000,P,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,22.07.2021,22.07.2022
KZ IR 1 101 01421,Палата предпринимателей города Нур-Султан,СТ-3,1800003,180240020244,«HAIKAN MINERALS» LLP,"Republic of Kazakhstan, Nur-Sultan c., sary arka dis., 31/2, off. 1","Coal fraction 0+40 mm-ash content 
23-humidity not more than 9% +2% 
- lowest calorific value not less than 
4500 Kcal/kg-yield of volatile compounds 
not higher than 29% 
- sulfur content not higher than 1%
",2701121000,P,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,22.07.2021,22.07.2022
KZ IR 1 101 00551,Региональная палата предпринимателей города Нур-Султан,СТ-3,1800001,81140011987,Logos Grain LLP,"13, Tauelsizdik avenue,  Nur-Sultan city,  Republic of Kazakhstan","RAPESEED OIL
IRANIAN CUSTOM TARRIF NO: 15141100
REGISTRATION NO: 68321249
INSURANCE POLICY NO:51/3399/17489

 PI NO: R-T-RO-PI-275    PI DATE: 20.05.2020
",1514999001,П,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,13.04.2021,13.04.2022
KZ IR 1 103 00779,Региональная палата предпринимателей Акмолинской области,СТ-3,1800306,210140020229,TradeAgra LLP,"Republic of Kazakhstan, Almaty, Zhambul st. 111/72",Rapeseed Oil,1514119001,WO,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,08.04.2021,08.04.2022
KZ IR 1 107 00954,Региональная палата предпринимателей Восточно-Казахстанской области,СТ-3,1801857,90840012563,LLC “Dinar ltd”,"226 kvartal, Apt. 353. g.Shimkent, Kazakhstan",sunflower meal,2306300000,WO,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,31.03.2021,31.03.2022
KZ IR 1 103 00557,Региональная палата предпринимателей Акмолинской области,СТ-3,1800305,210140020229,TradeAgra LLP,"Republic of Kazakhstan, Almaty, Zhambul st. 111/72",Rapeseed Oil,1514119001,P,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,26.03.2021,26.03.2022
KZ IR 1 113 00435,Региональная палата предпринимателей Мангистауской области,СТ-3,1804401,191140004520,"LLP ""General Caspian Group""","Aktau, 32v microdistrct",Oats,1004900000,WO,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,08.02.2021,08.02.2022
KZ IR 0 107 03310,Региональная палата предпринимателей Восточно-Казахстанской области,СТ-3,1801856,100440017722,"LLP ""Sercan Investment Group""","Republic of Kazakhstan, East-Kazakhstan area, Ust-Kamenogorsk city, Samarskoe highwey 17",Soft wheat 3 grade,1001990000,WO,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,28.12.2020,28.12.2021
