Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/импортера,Статус сертификата,Дата выдачи
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Мороженое с заменителем молочного жира с ароматом ванили в сахарном вафельном рожке с глазурью «Миша» - 4536 шт;,2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Мороженое клубничное с заменителем молочного жира со вкусом йогурта с клубничным наполнителем «Миша» - 576 шт;,2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Мороженое с заменителем молочного жира шоколадное «Миша» - 576 шт;,2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01443,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018896,200240037304,TOO «Bimbo QSR Kazakhstan («Бимбо КьюЭсАр Казахстан»)»,"Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, ул. Сұлтан Бейбарыс, здание 38А",Булочка Солнечная 55 гр,1905909000,Д1905,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое эскимо сливочное шоколадно-фундучное с шоколадной и карамельной начинкой и шоколадным соусом с фундуком, в молочном шоколаде с фундуком и арахисом ""Bahroma"" Trio Фундук"" - 20592 шт;",2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое эскимо пломбир с арахисовой пастой в глазури, с карамельным соусом в молочном шоколаде с арахисом и миндалем«Bahroma Double Халва» - 15400 шт;",2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Десерт взбитый замороженный сорбет с пюре манго «Вahroma» - 30240 шт;,2105001000,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое эскимо с заменителем молочного жира, с ароматом ванили в глазури, с крошкой шоколадного печенья «Бомба» Черное печенье» - 4860 шт;",2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Мороженое с заменителем молочного жира фисташковое в вафельном стакане «Бомба» - 4536 шт;,2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01450,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018893,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Мороженое эскимо с заменителем молочного жира ванильное в глазури с арахисом «Белочка» - 6864 шт;,2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
